Spanish,English
Adiós,Bye
Gracias,Thank you
Sí,Yeah
No,No
¿Cómo estás?,How are you?
Bien,Good
Mal,Evil
Ayuda,Aid
Hombre,Man
Mujer,Women
Niña,Little girl
Agua,Water
Comida,Meal
Bebida,Drink
Gato,Cat
Hijo,Son
Hija,Daughter
Padre,Father
Madre,Mother
Hermano,Brother
Hermana,Sister
Abuelo,Grandfather
Abuela,Grandmother
Amigo,Friend
Escritorio,Desk
Silla,Chair
Mesa,Table
Puerta,Door
Ventana,Window
Tren,Train
Barco,Ship
Taxi,Cab
Dinero,Money
Trabajo,Job
Feliz,Happy
Grande,Big
Pequeño,Little
Alto,High
Bajo,Low
Rápido,Fast
Lento,Slow
Caliente,Hot
Nuevo,New
Viejo,Old
Blanco,White
Negro,Black
Rojo,Red
Azul,Blue
Verde,Green
Amarillo,Yellow
Naranja,Orange
Morado,Purple
Gris,Grey
Rosa,Pink
Baño,Bathroom
Cocina,Kitchen
Sala,Hall
Televisión,Television
Computadora,Computer
Internet,Internet
Música,Music
Película,Movie
Foto,Photo
Cámara,Camera
Tienda,Store
Mercado,Market
Centro,Center
Hospital,Hospital
Médico,Doctor
Hola,Hello
Policía,Police
Tierra,Land
Cielo,Darling
Luna,Moon
Montaña,Mountain
Río,River
Lago,Lake
Mar,Sea
Playa,Beach
Parque,Park
Bosque,Forest
