Spanish,English
Adiós,Bye
Gracias,Thank you
Por favor,Please
Sí,Yeah
No,No
¿Cómo estás?,How are you?
Bien,Good
Mal,Evil
Ayuda,Aid
Amor,Love
Hombre,Man
Mujer,Women
Niño,Child
Niña,Little girl
Agua,Water
Comida,Meal
Bebida,Drink
Casa,Home
Perro,Dog
Gato,Cat
Hijo,Son
Hija,Daughter
Padre,Father
Madre,Mother
Hermano,Brother
Hermana,Sister
Abuelo,Grandfather
Abuela,Grandmother
Familia,Family
Amigo,Friend
Escuela,School
Libro,Book
Escritorio,Desk
Silla,Chair
Mesa,Table
Puerta,Door
Ventana,Window
Coche,Car
Avión,Plane
Tren,Train
Barco,Ship
Taxi,Cab
Dinero,Money
Trabajo,Job
Feliz,Happy
Triste,Sad
Grande,Big
Pequeño,Little
Alto,High
Bajo,Low
Rápido,Fast
Lento,Slow
Caliente,Hot
Frío,Cold
Nuevo,New
Viejo,Old
Blanco,White
Negro,Black
Rojo,Red
Azul,Blue
Verde,Green
Amarillo,Yellow
Naranja,Orange
Morado,Purple
Gris,Grey
Rosa,Pink
Baño,Bathroom
Dormitorio,Bedroom
Cocina,Kitchen
Sala,Hall
Televisión,Television
Teléfono,Phone
Computadora,Computer
Internet,Internet
Música,Music
Película,Movie
Foto,Photo
Cámara,Camera
Tienda,Store
Mercado,Market
Centro,Center
Hospital,Hospital
Médico,Doctor
Hola,Hello
Policía,Police
Fuego,Fire
Tierra,Land
Cielo,Darling
Sol,Sun
Luna,Moon
Estrella,Star
Montaña,Mountain
Río,River
Lago,Lake
Mar,Sea
Playa,Beach
Parque,Park
Bosque,Forest
Naturaleza,Nature
